0:0:0:0:0:0:0:1 - - [09/May/2023:10:12:20 +0900] "GET /web1/index12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:12:20 +0900] "GET /web1/index12.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:12:20 +0900] "GET /web1/index12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:12:20 +0900] "GET /web1/index12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:12:29 +0900] "GET /web1/index12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:12:29 +0900] "GET /web1/index12.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:13:12 +0900] "GET /web1/index12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:13:12 +0900] "GET /web1/index12.css HTTP/1.1" 200 927
0:0:0:0:0:0:0:1 - - [09/May/2023:10:13:12 +0900] "GET /web1/m_chcek_off.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:13:13 +0900] "GET /web1/index12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:13:13 +0900] "GET /web1/index12.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:13:13 +0900] "GET /web1/index12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:13:13 +0900] "GET /web1/index12.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:13:13 +0900] "GET /web1/index12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:13:13 +0900] "GET /web1/index12.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:13:13 +0900] "GET /web1/index12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:13:13 +0900] "GET /web1/index12.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:13:14 +0900] "GET /web1/index12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:13:14 +0900] "GET /web1/index12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:13:14 +0900] "GET /web1/index12.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:13:14 +0900] "GET /web1/index12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:13:14 +0900] "GET /web1/index12.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:13:14 +0900] "GET /web1/index12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:13:14 +0900] "GET /web1/index12.css HTTP/1.1" 304 -
